Count_Date,Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg1-6,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg2-6,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg3-6,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg4-6,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Leg5-6,Leg6-1,Leg6-2,Leg6-3,Leg6-4,Leg6-5,Legs,State,Trips/hour,comparison,description,electorate,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,longitude,not known,site_id,year
2019-09-03,0.0,9.0,14.0,0.0,,0.0,8.0,3.0,2.0,,1.0,3.0,0.0,0.0,,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,,,,,,,5.0,NT,22.0,0.277777778,"Tiger Brennan Drive north bound [N], Frances Bay Drive north bound [NE], Frances Bay Drive south bound [S], Tiger Brennan Drive south bound [SW], Dinah Beach Rd [W]",Darwin,-12.45294,23.0,4.0,27.0,13.0,4.0,17.0,4.0,19.0,23.0,2.0,17.0,19.0,4.0,2.0,6.0,,,,130.847549,0,6949.0,2019
2019-09-03,7.0,10.0,,,,8.0,5.0,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,3.0,NT,17.4,0.027027027,"Dripstone Rd [SE], Lakeside Dr [SW], Dripstone Rd [NW]",Darwin,-12.374524,17.0,14.0,31.0,13.0,9.0,22.0,8.0,15.0,23.0,,,,,,,,,,130.87454,0,7123.0,2019
2019-09-03,0.0,3.0,0.0,,,0.0,0.0,0.0,,,1.0,0.0,0.0,,,0.0,1.0,0.0,,,,,,,,,,,,,4.0,NT,3.0,,"Berrimah Rd [N], Tiger Brennan Dr [E], Berrimah Rd [S], Tiger Brennan Dr [W]",Darwin,-12.45,3.0,1.0,4.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,,,,,,,130.9235,0,7130.0,2019
2019-09-03,2.0,5.0,7.0,,,1.0,0.0,26.0,,,6.0,3.0,7.0,,,16.0,8.0,3.0,,,,,,,,,,,,,4.0,NT,45.0,0.423728814,"Fox Cr [NE], Nightcliff Rd [SE], Camphor St [SW], Nightcliff Rd [NW]",Darwin,-12.382654,14.0,23.0,37.0,27.0,13.0,40.0,16.0,8.0,24.0,27.0,40.0,67.0,,,,,,,130.853932,1,7249.0,2019
2019-09-04,17.0,0.0,2.0,,,3.0,0.0,8.0,,,0.0,0.0,0.0,,,2.0,7.0,0.0,,,,,,,,,,,,,4.0,NT,19.2,,"Garramilla Blvd [NE], McMinn St [SE], Garramilla Blvd [SW], McMinn St [NW]",Darwin,-12.458133,19.0,5.0,24.0,11.0,24.0,35.0,0.0,0.0,0.0,9.0,10.0,19.0,,,,,,,130.8427,0,7351.0,2019
2019-09-03,11.0,3.0,,,,14.0,20.0,,,,8.0,9.0,,,,,,,,,,,,,,,,,,,3.0,NT,30.6,1.03125,"McMillans Rd [NE], Stuart Hwy [SE], Stuart Hwy [NW]",Palmerston,-12.444442,14.0,22.0,36.0,34.0,20.0,54.0,17.0,23.0,40.0,,,,,,,,,,130.952575,0,5500.0,2019
2019-09-03,0.0,8.0,,,,0.0,7.0,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,3.0,NT,11.2,0.222222222,"Roystonea Ave [SE], University Ave [SW], Roystonea Ave [NW]",Palmerston,-12.475906,8.0,2.0,10.0,7.0,5.0,12.0,7.0,15.0,22.0,,,,,,,,,,130.985374,0,5501.0,2019
2019-09-03,4.0,5.0,0.0,,,1.0,4.0,6.0,,,3.0,2.0,0.0,,,1.0,15.0,0.0,,,,,,,,,,,,,4.0,NT,21.2,-0.023809524,"Roystonea Ave [N], Lambrick Ave [E], Roystonea Ave [S], Lambrick Ave [W]",Palmerston,-12.502173,9.0,5.0,14.0,11.0,21.0,32.0,5.0,9.0,14.0,16.0,6.0,22.0,,,,,,,130.998955,0,5982.0,2019
2019-09-03,0.0,0.0,0.0,,,0.0,6.0,5.0,,,3.0,1.0,6.0,,,0.0,4.0,5.0,,,,,,,,,,,,,4.0,NT,16.8,0.034482759,"Lambrick Ave [E], Zuccoli Pde [S], Lambrick Ave [W], Farrar Blvd [N]",Palmerston,-12.501095,0.0,3.0,3.0,11.0,5.0,16.0,10.0,11.0,21.0,9.0,11.0,20.0,,,,,,,131.006133,1,6566.0,2019
2019-09-03,0.0,1.0,1.0,,,0.0,0.0,4.0,,,2.0,1.0,6.0,,,0.0,3.0,0.0,,,,,,,,,,,,,4.0,NT,6.8,0.058823529,"Temple Tce [NE], Roystonea Ave/Footpath [SE], Temple Tce/Footpath [SW], Roystonea Ave/Footpath [NW]",Palmerston,-12.479334,2.0,2.0,4.0,4.0,4.0,8.0,9.0,1.0,10.0,3.0,11.0,14.0,,,,,,,130.988479,1,6807.0,2019
2019-09-03,0.0,1.0,0.0,,,5.0,0.0,1.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,4.0,NT,2.8,-0.181818182,"Temple Terrace [NE], Farrar Boulevard [SE], Temple Terrace [SW], Toupein Road [NW]",Palmerston,-12.476771,1.0,7.0,8.0,6.0,0.0,6.0,2.0,1.0,3.0,0.0,1.0,1.0,,,,,,,130.99263,0,6951.0,2019
2019-09-03,2.0,1.0,1.0,,,13.0,0.0,6.0,,,4.0,3.0,3.0,,,0.0,1.0,1.0,,,,,,,,,,,,,4.0,NT,15.8,0.4,"Yarrawonga Rd [NE], Roystonea Ave [SE], Packard Ave [W], Roystonea Ave [NW]",Palmerston,-12.473,4.0,17.0,21.0,19.0,6.0,25.0,10.0,2.0,12.0,2.0,10.0,12.0,,,,,,,130.983,0,7127.0,2019
2019-09-03,2.0,0.0,,,,1.0,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,3.0,NT,1.6,-0.5,"University Ave [E], Elrundie Ave [S], Kirkland Rd [W]",Palmerston,-12.481,2.0,2.0,4.0,1.0,2.0,3.0,1.0,0.0,1.0,,,,,,,,,,130.97,0,7128.0,2019
2019-09-03,0.0,0.0,0.0,,,0.0,0.0,6.0,,,2.0,2.0,3.0,,,0.0,0.0,5.0,,,,,,,,,,,,,4.0,NT,5.4,0.125,"Howard Springs Rd [NE], Howard Springs shared path [SE], Howard Springs Rd [SW], Howard Springs shared path [NW]",Palmerston,-12.493,0.0,2.0,2.0,6.0,2.0,8.0,7.0,5.0,12.0,5.0,9.0,14.0,,,,,,,131.019,5,7129.0,2019
2021-07-27,1.0,1.0,,,,0.0,5.0,,,,1.0,21.0,,,,,,,,,,,,,,,,,,,3.0,NT,14.4,-0.452830189,"Peel St [NE], Esplanade [SE], Esplanade [NW]",Darwin,-12.463135,2.0,1.0,3.0,5.0,22.0,27.0,22.0,6.0,28.0,,,,,,,,,,130.837902,0,5467.0,2021
2021-07-27,7.0,8.0,5.0,,,1.0,0.0,2.0,,,3.0,0.0,7.0,,,2.0,10.0,7.0,,,,,,,,,,,,,4.0,NT,29.4,-0.388235294,"Daly St [NE], Mitchell St [SE], Daly St [SW], Mitchell St [NW]",Darwin,-12.458635,20.0,6.0,26.0,3.0,17.0,20.0,10.0,15.0,25.0,19.0,14.0,33.0,,,,,,,130.835209,0,5468.0,2021
2021-07-27,5.0,16.0,11.0,,,1.0,4.0,7.0,,,1.0,2.0,0.0,,,3.0,29.0,5.0,,,,,,,,,,,,,4.0,NT,44.8,0.063291139,"Daly St [NE], Smith St [SE], Daly St [SW], Smith St [NW]",Darwin,-12.457703,32.0,5.0,37.0,12.0,36.0,48.0,3.0,25.0,28.0,37.0,18.0,55.0,,,,,,,130.836128,1,5469.0,2021
2021-07-27,9.0,26.0,0.0,,,2.0,0.0,4.0,,,3.0,4.0,1.0,,,2.0,16.0,5.0,,,,,,,,,,,,,4.0,NT,38.8,-0.162790698,"Daly St [NE], Cavenagh St [SE], Daly St [SW], Gardens Rd [NW]",Darwin,-12.456674,35.0,7.0,42.0,6.0,29.0,35.0,8.0,31.0,39.0,23.0,5.0,28.0,,,,,,,130.837168,1,5470.0,2021
