Count_Date,Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Legs,State,Trips/hour,comparison,description,electorate,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,longitude,not known,site_id,year
3/09/2019,3,4,0,0,5,20,0,0,1,20,0,0,0,0,0,0,0,0,0,0,3,NT,24.8,-0.053571429,"Progress Dr [E], Dick Ward Dr [S], Progress Dr [W]",Darwin,-12.387972,7,6,13,25,23,48,21,24,45,0,0,0,0,0,0,130.852268,1,5478,2019
3/09/2019,1,59,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,NT,48.8,0.257142857,"Dick Ward Dr [N], Fitzer Dr [E], Dick Ward Dr [S]",Darwin,-12.410053,60,26,86,2,1,3,26,61,87,0,0,0,0,0,0,130.8505,1,5477,2019
3/09/2019,10,48,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,NT,48.4,0.25,"Dick Ward Dr [NE], Douglas St [SE], Dick Ward Dr [SW]",Darwin,-12.42052,58,32,90,1,10,11,31,48,79,0,0,0,0,0,0,130.847323,0,5476,2019
3/09/2019,7,36,0,0,6,13,0,0,20,19,0,0,0,0,0,0,0,0,0,0,3,NT,55.6,0.24691358,"Dick Ward Dr [E], Ross Smith Ave [SE], Ross Smith Ave [W]",Darwin,-12.424494,43,26,69,19,26,45,39,49,88,0,0,0,0,0,0,130.838362,0,5475,2019
3/09/2019,14,4,0,0,1,26,0,0,9,32,0,0,0,0,0,0,0,0,0,0,3,NT,49.8,-0.054945055,"Gregory St [E], East Point Rd [S], East Point Rd [N]",Darwin,-12.432258,18,10,28,27,46,73,41,30,71,0,0,0,0,0,0,130.837681,86,5474,2019
3/09/2019,1,30,7,0,2,5,26,0,14,2,17,0,0,1,1,0,0,0,0,0,4,NT,60.8,-0.131147541,"East Point Rd [N], Goyder Rd [E], Gilruth Ave [SW], Goyder Rd [W]",Darwin,-12.438015,38,16,54,33,4,37,33,36,69,2,50,52,0,0,0,130.837831,5,5473,2019
3/09/2019,0,2,9,0,0,10,11,0,2,3,1,0,13,4,0,0,1,0,0,0,5,NT,31.6,0.166666667,"Atkins Dr [N], Gilruth Ave [NE], Gardens Rd [SE], Gilruth Ave [S], Maria Liveris Dr [SW]",Darwin,-12.444327,11,16,27,21,7,28,6,12,18,17,21,38,1,0,1,130.834038,3,5472,2019
3/09/2019,5,13,1,0,3,1,3,0,7,0,1,0,7,4,2,0,0,0,0,0,4,NT,25.0,-0.253968254,"Gilruth Ave [N], Smith St [SE], Lambell Tce [SW], Kahlin Ave [NW]",Darwin,-12.452352,19,17,36,7,9,16,8,16,24,13,5,18,0,0,0,130.830522,1,5471,2019
24/09/2019,20,24,1,0,5,1,4,0,8,1,1,0,4,15,2,0,0,0,0,0,4,NT,48.4,-0.011494253,"Daly St [NE], Cavenagh St [SE], Daly St [SW], Gardens Rd [NW]",Darwin,-12.456674,45,17,62,10,36,46,10,27,37,21,6,27,0,0,0,130.837168,1,5470,2019
3/09/2019,14,10,5,0,1,1,5,0,6,0,2,0,7,22,6,0,0,0,0,0,4,NT,42.0,-0.05952381,"Daly St [NE], Smith St [SE], Daly St [SW], Smith St [NW]",Darwin,-12.457703,29,14,43,7,36,43,8,17,25,35,12,47,0,0,0,130.836128,1,5469,2019
3/09/2019,5,7,4,0,1,0,4,0,1,1,10,0,5,18,29,0,0,0,0,0,4,NT,44.8,-0.04494382,"Daly St [NE], Mitchell St [SE], Daly St [SW], Mitchell St [NW]",Darwin,-12.458635,16,7,23,5,24,29,12,36,48,52,18,70,0,0,0,130.835209,10,5468,2019
3/09/2019,4,1,0,0,1,7,0,0,3,37,0,0,0,0,0,0,0,0,0,0,3,NT,23.0,-0.070175439,"Peel St [NE], Esplanade [SE], Esplanade [NW]",Darwin,-12.463135,5,4,9,8,41,49,40,8,48,0,0,0,0,0,0,130.837902,0,5467,2019
