Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Legs,comparison,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,longitude,not known,site_id,year,Trips/hour
17,30,0,0,40,33,0,0,71,25,0,0,0,0,0,0,0,0,0,0,3,0.278106509,-12.376238,47,111,158,73,42,115,96,63,159,0,0,0,0,0,0,130.860332,0,5483,2021,123.0
3,4,0,0,6,18,0,0,6,12,0,0,0,0,0,0,0,0,0,0,3,-0.209677419,-12.384294,7,12,19,24,15,39,18,22,40,0,0,0,0,0,0,130.855426,0,5482,2021,28.2
0,5,3,0,5,3,6,0,13,0,0,0,2,2,0,0,0,0,0,0,4,-0.204081633,-12.380754,8,20,28,14,2,16,13,8,21,4,9,13,0,0,0,130.85885,0,5481,2021,21.2
3,29,15,0,7,0,2,0,33,6,0,0,23,4,0,0,0,0,0,0,4,0.140186916,-12.376827,47,63,110,9,13,22,39,29,68,27,17,44,0,0,0,130.849571,0,5480,2021,67.0
14,4,0,0,17,28,0,0,8,28,0,0,0,0,0,0,0,0,0,0,3,0.867924528,-12.387972,18,25,43,45,42,87,36,32,68,0,0,0,0,0,0,130.852268,0,5478,2021,49.6
1,62,0,0,1,3,0,0,41,2,0,0,0,0,0,0,0,0,0,0,3,0.25,-12.410053,63,42,105,4,3,7,43,65,108,0,0,0,0,0,0,130.8505,0,5477,2021,58.6
7,52,0,0,6,3,0,0,35,3,0,0,0,0,0,0,0,0,0,0,3,0.177777778,-12.42052,59,41,100,9,10,19,38,55,93,0,0,0,0,0,0,130.847323,0,5476,2021,57.0
7,45,0,0,11,17,0,0,31,24,0,0,0,0,0,0,0,0,0,0,3,0.336633663,-12.424494,52,42,94,28,31,59,55,62,117,0,0,0,0,0,0,130.838362,0,5475,2021,71.0
18,1,0,0,0,15,0,0,3,53,0,0,0,0,0,0,0,0,0,0,3,0.046511628,-12.432258,19,3,22,15,71,86,56,16,72,0,0,0,0,0,0,130.837681,0,5474,2021,48.0
3,27,12,0,1,1,15,0,10,0,22,0,2,0,0,0,0,0,0,0,4,-0.122641509,-12.438015,42,13,55,17,3,20,32,28,60,2,49,51,0,0,0,130.837831,1,5473,2021,55.0
2,2,8,3,0,9,7,0,4,8,0,0,3,16,0,0,4,0,0,0,5,0.178571429,-12.444327,15,11,26,16,26,42,12,11,23,19,15,34,4,3,7,130.834038,0,5472,2021,40.8
0,0,22,1,0,5,26,0,1,1,0,0,4,7,0,0,3,0,1,5,5,-0.146067416,-12.454653,23,8,31,31,8,39,2,6,8,11,53,64,9,1,10,130.839183,0,5507,2021,39.4
3,51,0,0,11,4,0,0,29,2,0,0,0,0,0,0,0,0,0,0,3,0.030927835,-12.445064,54,40,94,15,5,20,31,55,86,0,0,0,0,0,0,130.84106,4,5508,2021,50.4
3,0,3,0,2,4,4,0,2,2,0,0,7,2,0,0,0,0,0,0,4,-0.033333333,-12.43842,6,11,17,10,7,17,4,4,8,9,7,16,0,0,0,130.850134,2,5509,2021,15.4
38,1,0,0,17,0,6,0,4,0,0,0,0,15,4,0,0,0,0,0,4,-0.114583333,-12.435826,39,21,60,23,53,76,4,5,9,19,6,25,0,0,0,130.843351,14,5510,2021,44.2
31,0,0,0,15,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0.0,-12.432985,31,15,46,16,36,52,5,1,6,0,0,0,0,0,0,130.849083,11,5511,2021,26.8
1,5,3,0,1,1,0,0,13,0,2,0,5,14,24,0,0,0,0,0,4,-0.28125,-12.429357,9,19,28,2,15,17,15,30,45,43,5,48,0,0,0,130.856979,0,5512,2021,30.6
29,2,0,0,13,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,-0.122807018,-12.410494,31,14,45,14,33,47,5,3,8,0,0,0,0,0,0,130.856116,1,5513,2021,20.4
0,0,0,0,0,1,13,0,0,0,5,0,0,14,1,0,0,0,0,0,4,-0.433333333,-12.402638,0,0,0,14,14,28,5,2,7,15,18,33,0,0,0,130.856105,0,5514,2021,18.6
0,7,0,0,0,4,2,0,13,1,1,0,0,2,0,0,0,0,0,0,4,-0.318181818,-12.395324,7,13,20,6,3,9,15,11,26,2,3,5,0,0,0,130.856016,0,5515,2021,14.0
3,9,0,0,1,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,3,-0.137931034,-12.387763,12,11,23,2,4,6,11,10,21,0,0,0,0,0,0,130.858441,1,5516,2021,15.0
27,2,0,0,6,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,-0.222222222,-12.39561,29,9,38,7,30,37,6,3,9,0,0,0,0,0,0,130.862539,0,5517,2021,18.4
