site_id,year,Count_Date,electorate,Trips/hour,avg_Diesel_14d,avg_Unleaded_91_14d,avg_Premium_95_14d,PC1_fuel_price
5476.0,2019,2019-09-03,Darwin,48.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5476.0,2021,2021-08-24,Darwin,57.0,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5476.0,2023,2023-07-25,Darwin,36.0,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5477.0,2019,2019-09-03,Darwin,48.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5477.0,2021,2021-08-24,Darwin,58.6,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5477.0,2023,2023-07-25,Darwin,35.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5478.0,2019,2019-09-03,Darwin,24.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5478.0,2021,2021-07-27,Darwin,49.6,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5478.0,2023,2023-07-25,Darwin,24.8,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5480.0,2019,2019-09-03,Darwin,59.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5480.0,2021,2021-07-27,Darwin,67.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5480.0,2023,2023-07-25,Darwin,35.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5481.0,2019,2019-09-03,Darwin,25.2,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5481.0,2021,2021-08-24,Darwin,21.2,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5481.0,2023,2023-07-25,Darwin,10.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5482.0,2019,2019-09-03,Darwin,33.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5482.0,2021,2021-07-27,Darwin,28.2,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5482.0,2023,2023-08-01,Darwin,22.0,197.85519415882354,181.53234242564105,195.88143915614037,2.3195716409820566
5483.0,2019,2019-09-03,Darwin,96.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5483.0,2021,2021-07-27,Darwin,123.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5483.0,2023,2023-07-25,Darwin,64.4,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5484.0,2019,2019-09-03,Darwin,41.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5484.0,2021,2021-07-27,Darwin,32.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5484.0,2023,2023-07-25,Darwin,39.0,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5485.0,2019,2019-09-03,Darwin,48.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5485.0,2021,2021-07-27,Darwin,40.6,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5485.0,2023,2023-07-25,Darwin,30.8,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5486.0,2019,2019-09-03,Darwin,23.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5486.0,2021,2021-07-27,Darwin,29.6,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5486.0,2023,2023-07-25,Darwin,26.6,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5487.0,2019,2019-09-03,Darwin,12.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5487.0,2021,2021-07-27,Darwin,7.4,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5487.0,2023,2023-07-25,Darwin,6.8,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5488.0,2019,2019-09-03,Darwin,27.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5488.0,2021,2021-07-27,Darwin,18.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5488.0,2023,2023-07-25,Darwin,24.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5500.0,2019,2019-09-03,Palmerston,30.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5500.0,2021,2021-07-27,Palmerston,25.6,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5500.0,2023,2023-08-08,Palmerston,12.6,199.68139947945207,187.55129182935156,201.92314189667252,2.7346738763852376
5501.0,2019,2019-09-03,Palmerston,11.2,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5501.0,2021,2021-07-27,Palmerston,8.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5501.0,2023,2023-08-15,Palmerston,6.2,204.20870676254827,192.51225319561553,206.8521378062284,3.145769386649082
5507.0,2019,2019-09-03,Darwin,50.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5507.0,2021,2021-07-27,Darwin,39.4,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5507.0,2023,2023-07-25,Darwin,38.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5508.0,2021,2021-07-27,Darwin,50.4,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5508.0,2023,2023-07-25,Darwin,36.6,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5509.0,2019,2019-09-03,Darwin,16.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5509.0,2021,2021-08-24,Darwin,15.4,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5509.0,2023,2023-07-25,Darwin,16.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5510.0,2019,2019-09-03,Darwin,51.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5510.0,2021,2021-07-27,Darwin,44.2,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5510.0,2023,2023-07-25,Darwin,36.4,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5511.0,2021,2021-08-24,Darwin,26.8,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5511.0,2023,2023-08-09,Darwin,34.0,200.20751775976564,188.44133006132878,202.81471635839162,2.801974437068197
5512.0,2019,2019-09-03,Darwin,53.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5512.0,2021,2021-08-24,Darwin,30.6,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5512.0,2023,2023-07-25,Darwin,24.6,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5513.0,2019,2019-09-03,Darwin,25.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5513.0,2021,2021-08-24,Darwin,20.4,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5513.0,2023,2023-08-01,Darwin,19.8,197.85519415882354,181.53234242564105,195.88143915614037,2.3195716409820566
5514.0,2019,2019-09-03,Darwin,28.2,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5514.0,2021,2021-08-24,Darwin,18.6,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5514.0,2023,2023-08-15,Darwin,22.4,204.20870676254827,192.51225319561553,206.8521378062284,3.145769386649082
5515.0,2019,2019-09-03,Darwin,23.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5515.0,2021,2021-07-27,Darwin,14.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5515.0,2023,2023-07-25,Darwin,3.6,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5516.0,2019,2019-09-03,Darwin,15.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5516.0,2021,2021-07-27,Darwin,15.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5516.0,2023,2023-08-03,Darwin,12.8,198.098419427451,183.0449371897436,197.4145408,2.4193072520044328
5517.0,2019,2019-09-03,Darwin,26.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5517.0,2021,2021-07-27,Darwin,18.4,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5517.0,2023,2023-08-03,Darwin,14.8,198.098419427451,183.0449371897436,197.4145408,2.4193072520044328
5518.0,2019,2019-09-03,Darwin,43.2,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5518.0,2021,2021-07-27,Darwin,46.8,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5518.0,2023,2023-08-01,Darwin,30.6,197.85519415882354,181.53234242564105,195.88143915614037,2.3195716409820566
5519.0,2019,2019-09-03,Darwin,24.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5519.0,2021,2021-07-27,Darwin,17.8,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5519.0,2023,2023-08-01,Darwin,17.8,197.85519415882354,181.53234242564105,195.88143915614037,2.3195716409820566
5520.0,2019,2019-09-03,Darwin,24.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5520.0,2021,2021-07-27,Darwin,30.6,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5520.0,2023,2023-07-25,Darwin,20.0,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5521.0,2019,2019-09-03,Darwin,21.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5521.0,2021,2021-09-07,Darwin,11.8,152.48046560795456,151.73149131301483,164.90290155912163,-0.6157329814761894
5521.0,2023,2023-08-01,Darwin,13.2,197.85519415882354,181.53234242564105,195.88143915614037,2.3195716409820566
5523.0,2019,2019-09-03,Darwin,26.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5523.0,2021,2021-07-27,Darwin,23.8,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5523.0,2023,2023-07-25,Darwin,16.8,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5524.0,2019,2019-09-03,Darwin,27.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5524.0,2021,2021-08-24,Darwin,34.4,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5524.0,2023,2023-07-25,Darwin,21.0,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5525.0,2019,2019-09-03,Darwin,25.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5525.0,2021,2021-08-24,Darwin,27.8,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5525.0,2023,2023-07-25,Darwin,19.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5526.0,2019,2019-09-03,Darwin,22.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5526.0,2021,2021-07-27,Darwin,20.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5526.0,2023,2023-07-25,Darwin,21.4,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5527.0,2021,2021-08-24,Darwin,23.6,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
5527.0,2023,2023-08-15,Darwin,17.2,204.20870676254827,192.51225319561553,206.8521378062284,3.145769386649082
5528.0,2021,2021-07-27,Darwin,26.6,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5528.0,2023,2023-08-08,Darwin,19.6,199.68139947945207,187.55129182935156,201.92314189667252,2.7346738763852376
5585.0,2019,2019-09-03,Darwin,59.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
